@timestamp,log_source,host_name,user_name,source_ip,process_name,event_type,mse,threshold,is_alert,confidence,confidence_level,top_features,top_feat,split,role
2026-08-04 12:30:01.407000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0033073705,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 12:30:01.412000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.024302468,11.108546713637551,0,0.002,low,msg_length_log=0.2,msg_length_log,test,alert
2026-08-04 12:35:01.423000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0017367108,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 12:35:01.430000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.021863773,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 12:45:10.436000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0018907841,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 12:45:10.442000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.022948235,11.108546713637551,0,0.002,low,msg_length_log=0.2,msg_length_log,test,alert
2026-08-04 12:55:01.948000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0021761982,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 12:55:01.953000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.025562376,11.108546713637551,0,0.002,low,msg_length_log=0.2,msg_length_log,test,alert
2026-08-04 13:05:01.963000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0017404789,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:05:01.968000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.019746348,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 13:15:01.986000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0024291528,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:15:01.993000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.021575935,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 13:17:02.002000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0016130283,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:17:02.007000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.019638114,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 13:25:01.018000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0009104195,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:25:01.023000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.020727277,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 13:30:01.033000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0029834565,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:30:01.037000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0223431,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 13:35:01.046000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0020548226,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:35:01.055000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.022334829,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 13:45:01.065000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.002261133,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:45:01.072000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.018623844,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 13:55:01.090000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0026319195,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 13:55:01.096000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.022337303,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 14:05:01.108000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0023951232,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:05:01.114000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.019025937,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 14:15:01.125000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0025964575,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:15:01.131000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.024839804,11.108546713637551,0,0.002,low,msg_length_log=0.2,msg_length_log,test,alert
2026-08-04 14:17:01.140000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0024774168,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:17:01.149000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.02193769,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 14:25:01.158000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.00091414247,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:25:01.163000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.020742603,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 14:30:01.173000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.002993375,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:30:01.178000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.022323683,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 14:35:01.186000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0020649685,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:35:01.191000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.022373222,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 14:45:01.199000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0022620708,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:45:01.202000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.018613935,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 14:55:01.210000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0026314575,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 14:55:01.213000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.022354536,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 15:05:01.221000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.0023906054,11.108546713637551,0,0.0,low,user_rarity=0.0,user_rarity,test,alert
2026-08-04 15:05:01.223000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.019037604,11.108546713637551,0,0.002,low,msg_length_log=0.1,msg_length_log,test,alert
2026-08-04 17:45:01.228000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.3655225,11.108546713637551,0,0.033,low,"inter_arrival_log=1.4, user_rarity=0.0",inter_arrival_log,test,alert
2026-08-04 17:45:01.234000+00:00,auth,ASUS-X415JA,root,,CRON,cron,0.028609008,11.108546713637551,0,0.003,low,msg_length_log=0.2,msg_length_log,test,alert
2026-08-04 12:23:42.207000+00:00,auth,ASUS-X415JA,,,charon,charon,11.802124,11.108546713637551,1,1.062,low,"event_type_seq=13.7, is_fail=0.4, user_rarity=0.4",event_type_seq,test,alert
2026-08-04 12:26:27.278000+00:00,auth,ASUS-X415JA,,,charon,charon,0.16792256,11.108546713637551,0,0.015,low,"event_type_seq=0.6, user_rarity=0.2, is_fail=0.2",event_type_seq,test,alert
2026-08-04 12:29:12.337000+00:00,auth,ASUS-X415JA,,,charon,charon,0.043475047,11.108546713637551,0,0.004,low,"ip_is_external=0.2, user_rarity=0.1, geo_rarity=0.0",ip_is_external,test,alert
2026-08-04 17:44:42.653000+00:00,auth,ASUS-X415JA,,,charon,charon,1.0623518,11.108546713637551,0,0.096,low,"inter_arrival_log=2.6, ip_is_external=0.1, user_rarity=0.1",inter_arrival_log,test,alert
2026-08-04 17:47:27.723000+00:00,auth,ASUS-X415JA,,,charon,charon,0.01936834,11.108546713637551,0,0.002,low,"is_fail=0.1, user_rarity=0.0, event_type_seq=0.0",is_fail,test,alert
2026-08-04 17:50:12.793000+00:00,auth,ASUS-X415JA,,,charon,charon,0.016855765,11.108546713637551,0,0.002,low,"is_fail=0.1, user_rarity=0.0, geo_rarity=0.0",is_fail,test,alert
2026-08-04 12:44:45.723000+00:00,auth,ASUS-X415JA,,,dbus-daemon,dbus-daemon,5.6186223,11.108546713637551,0,0.506,low,"event_type_seq=7.6, msg_length_log=2.9, is_fail=0.5",event_type_seq,test,alert
2026-08-04 12:44:45.726000+00:00,auth,ASUS-X415JA,,,dbus-daemon,dbus-daemon,1.1235559,11.108546713637551,0,0.101,low,"msg_length_log=2.6, inter_arrival_log=1.1, event_type_seq=0.2",msg_length_log,test,alert
2026-08-04 12:44:45.727000+00:00,auth,ASUS-X415JA,,,dbus-daemon,dbus-daemon,0.7553657,11.108546713637551,0,0.068,low,"msg_length_log=2.0, inter_arrival_log=0.8, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 12:44:45.727000+00:00,auth,ASUS-X415JA,,,dbus-daemon,dbus-daemon,0.5702399,11.108546713637551,0,0.051,low,"msg_length_log=1.6, inter_arrival_log=0.7, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 12:23:28.853000+00:00,auth,ASUS-X415JA,,,gdm-launch-environment],gdm-launch-environment],12.142913,11.108546713637551,1,1.093,low,"event_type_seq=14.1, user_rarity=0.6, msg_length_log=0.4",event_type_seq,test,alert
2026-08-04 12:44:57.318000+00:00,auth,ASUS-X415JA,gdm,,gdm-launch-environment],gdm-launch-environment],1.3657545,11.108546713637551,0,0.123,low,"event_type_seq=3.0, user_rarity=0.2, is_fail=0.1",event_type_seq,test,alert
2026-08-04 17:44:35.716000+00:00,auth,ASUS-X415JA,,,gdm-launch-environment],gdm-launch-environment],0.19316351,11.108546713637551,0,0.017,low,"event_type_seq=0.6, msg_length_log=0.2, user_rarity=0.1",event_type_seq,test,alert
2026-08-04 17:48:20.989000+00:00,auth,ASUS-X415JA,gdm,,gdm-launch-environment],gdm-launch-environment],0.48822308,11.108546713637551,0,0.044,low,"inter_arrival_log=1.6, event_type_seq=0.2, is_fail=0.1",inter_arrival_log,test,alert
2026-08-04 08:09:47.822000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],6.655273,11.108546713637551,0,0.599,low,"event_type_seq=8.6, msg_length_log=0.8, user_rarity=0.3",event_type_seq,test,alert
2026-08-04 09:07:28.501000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],2.772748,11.108546713637551,0,0.25,low,"event_type_seq=4.5, inter_arrival_log=2.8, msg_length_log=0.6",event_type_seq,test,alert
2026-08-04 09:07:37.038000+00:00,auth,ASUS-X415JA,hala-hamza,,gdm-password],gdm-password],0.31992,11.108546713637551,0,0.029,low,"inter_arrival_log=0.7, event_type_seq=0.7, ip_is_external=0.2",inter_arrival_log,test,alert
2026-08-04 12:44:51.012000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],1.5152096,11.108546713637551,0,0.136,low,"event_type_seq=3.1, inter_arrival_log=1.2, is_fail=0.1",event_type_seq,test,alert
2026-08-04 12:44:51.012000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],1.3448642,11.108546713637551,0,0.121,low,"inter_arrival_log=3.0, is_fail=0.1, ip_is_external=0.1",inter_arrival_log,test,alert
2026-08-04 12:44:51.032000+00:00,auth,ASUS-X415JA,hala-hamza,,gdm-password],gdm-password],0.32446894,11.108546713637551,0,0.029,low,"msg_length_log=0.8, inter_arrival_log=0.7, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 12:44:51.685000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.17578426,11.108546713637551,0,0.016,low,"msg_length_log=0.6, inter_arrival_log=0.2, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 12:57:29.469000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.9368669,11.108546713637551,0,0.084,low,"inter_arrival_log=2.4, msg_length_log=0.6, ip_is_external=0.2",inter_arrival_log,test,alert
2026-08-04 13:59:10.953000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.09147692,11.108546713637551,0,0.008,low,"msg_length_log=0.3, is_fail=0.1, ip_is_external=0.1",msg_length_log,test,alert
2026-08-04 14:07:49.357000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.13940915,11.108546713637551,0,0.013,low,"inter_arrival_log=0.6, msg_length_log=0.2, is_fail=0.1",inter_arrival_log,test,alert
2026-08-04 14:23:30.421000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.038660996,11.108546713637551,0,0.003,low,"msg_length_log=0.2, is_fail=0.1, inter_arrival_log=0.0",msg_length_log,test,alert
2026-08-04 14:58:49.126000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.03442613,11.108546713637551,0,0.003,low,"msg_length_log=0.2, is_fail=0.0, geo_rarity=0.0",msg_length_log,test,alert
2026-08-04 17:48:15.178000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.33020192,11.108546713637551,0,0.03,low,"inter_arrival_log=1.3, is_fail=0.1, geo_rarity=0.0",inter_arrival_log,test,alert
2026-08-04 17:48:15.178000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.38642824,11.108546713637551,0,0.035,low,"inter_arrival_log=1.4, ip_is_external=0.1, is_fail=0.1",inter_arrival_log,test,alert
2026-08-04 17:48:15.200000+00:00,auth,ASUS-X415JA,hala-hamza,,gdm-password],gdm-password],0.30003458,11.108546713637551,0,0.027,low,"msg_length_log=1.1, ip_is_external=0.2, is_fail=0.1",msg_length_log,test,alert
2026-08-04 17:48:15.839000+00:00,auth,ASUS-X415JA,,,gdm-password],gdm-password],0.099540666,11.108546713637551,0,0.009,low,"msg_length_log=0.3, ip_is_external=0.2, is_fail=0.1",msg_length_log,test,alert
2026-08-04 12:44:52.431000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,4.5042243,11.108546713637551,0,0.405,low,"event_type_seq=6.4, is_fail=0.9, ip_is_external=0.5",event_type_seq,test,alert
2026-08-04 12:44:52.433000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.4905808,11.108546713637551,0,0.044,low,"msg_length_log=1.2, event_type_seq=0.5, inter_arrival_log=0.5",msg_length_log,test,alert
2026-08-04 12:44:52.439000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.29236394,11.108546713637551,0,0.026,low,"inter_arrival_log=0.9, event_type_seq=0.2, ip_is_external=0.2",inter_arrival_log,test,alert
2026-08-04 12:44:52.441000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.43663698,11.108546713637551,0,0.039,low,"msg_length_log=1.0, inter_arrival_log=0.9, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 12:44:52.441000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.423683,11.108546713637551,0,0.038,low,"msg_length_log=1.0, inter_arrival_log=0.9, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 12:45:01.504000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.25391483,11.108546713637551,0,0.023,low,"msg_length_log=0.9, user_rarity=0.2, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 12:45:14.440000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.26640183,11.108546713637551,0,0.024,low,"msg_length_log=1.0, user_rarity=0.2, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 17:48:16.588000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.6965661,11.108546713637551,0,0.063,low,"inter_arrival_log=2.1, ip_is_external=0.1, user_rarity=0.1",inter_arrival_log,test,alert
2026-08-04 17:48:16.589000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.19011685,11.108546713637551,0,0.017,low,"msg_length_log=0.6, inter_arrival_log=0.3, user_rarity=0.2",msg_length_log,test,alert
2026-08-04 17:48:16.594000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.05647707,11.108546713637551,0,0.005,low,"user_rarity=0.2, ip_is_external=0.1, is_fail=0.0",user_rarity,test,alert
2026-08-04 17:48:16.594000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.18146926,11.108546713637551,0,0.016,low,"msg_length_log=0.6, user_rarity=0.2, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 17:48:16.596000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.16820437,11.108546713637551,0,0.015,low,"msg_length_log=0.5, user_rarity=0.2, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 17:48:25.226000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.36719817,11.108546713637551,0,0.033,low,"msg_length_log=1.3, user_rarity=0.2, ip_is_external=0.2",msg_length_log,test,alert
2026-08-04 17:48:36.035000+00:00,auth,ASUS-X415JA,,,gnome-keyring-daemon,gnome-keyring-daemon,0.4229548,11.108546713637551,0,0.038,low,"msg_length_log=1.5, user_rarity=0.1, ip_is_external=0.1",msg_length_log,test,alert
