log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,dominant_features,mse_max,mse_mean
auditd,asus-x415ja,2026-07-02 11:25:01.646000+00:00,2026-07-02 11:30:00.404000+00:00,298.8,2,2,"cron, (sa1)",inter_arrival_log (2),6.628,6.6086
auditd,asus-x415ja,2026-07-01 10:42:49.636000+00:00,2026-07-01 10:42:49.636000+00:00,0.0,1,1,wc,exe_path_rarity (1),6.4776,6.4776
auditd,asus-x415ja,2026-07-02 10:25:01.188000+00:00,2026-07-02 10:28:28.922000+00:00,207.7,2,1,(fwupdmgr),inter_arrival_log (2),6.3852,6.3539
auditd,asus-x415ja,2026-07-02 11:50:01.915000+00:00,2026-07-02 11:50:01.915000+00:00,0.0,1,0,,inter_arrival_log (1),6.2026,6.2026
auditd,asus-x415ja,2026-07-02 06:45:01.618000+00:00,2026-07-02 06:50:00.747000+00:00,299.1,2,2,"cron, (sa1)",inter_arrival_log (2),6.1243,6.1162
auditd,asus-x415ja,2026-07-02 09:50:01.924000+00:00,2026-07-02 09:53:06.033000+00:00,184.1,2,1,(fwupdmgr),inter_arrival_log (2),6.0772,6.0417
auditd,asus-x415ja,2026-07-02 06:55:01.680000+00:00,2026-07-02 06:55:01.680000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0579,6.0579
auditd,asus-x415ja,2026-07-02 07:30:01.929000+00:00,2026-07-02 07:30:01.929000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0531,6.0531
auditd,asus-x415ja,2026-07-02 08:20:01.272000+00:00,2026-07-02 08:20:01.272000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0476,6.0476
auditd,asus-x415ja,2026-07-02 10:20:01.143000+00:00,2026-07-02 10:20:01.143000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0464,6.0464
auditd,asus-x415ja,2026-07-02 08:55:01.526000+00:00,2026-07-02 08:55:01.526000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0336,6.0336
auditd,asus-x415ja,2026-07-02 08:30:01.341000+00:00,2026-07-02 08:30:01.341000+00:00,0.0,1,1,cron,inter_arrival_log (1),6.0316,6.0316
auditd,asus-x415ja,2026-07-02 11:10:01.494000+00:00,2026-07-02 11:10:01.494000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.9646,5.9646
auditd,asus-x415ja,2026-07-02 11:45:01.863000+00:00,2026-07-02 11:45:01.863000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.948,5.948
auditd,asus-x415ja,2026-07-02 11:20:01.576000+00:00,2026-07-02 11:20:01.576000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.926,5.926
auditd,asus-x415ja,2026-07-02 09:30:01.785000+00:00,2026-07-02 09:30:01.785000+00:00,0.0,1,0,,inter_arrival_log (1),5.8761,5.8761
auditd,asus-x415ja,2026-07-02 11:40:01.804000+00:00,2026-07-02 11:40:01.804000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.7746,5.7746
auditd,asus-x415ja,2026-07-02 06:40:01.576000+00:00,2026-07-02 06:40:01.576000+00:00,0.0,1,1,cron,inter_arrival_log (1),5.7385,5.7385
auth,ASUS-X415JA,2026-06-25 16:07:27.240000+00:00,2026-06-25 16:07:27.240000+00:00,0.0,1,1,sudo,msg_length_log (1),4.8945,4.8945
auth,ASUS-X415JA,2026-07-01 06:38:03.792000+00:00,2026-07-01 06:38:03.792000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),4.4219,4.4219
auth,ASUS-X415JA,2026-06-16 16:35:42.999000+00:00,2026-06-16 16:36:17.216000+00:00,34.2,3,1,sudo,msg_length_log (3),4.4064,4.2273
auth,ASUS-X415JA,2026-06-28 11:28:25.731000+00:00,2026-06-28 11:28:25.731000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),4.4055,4.4055
auth,ASUS-X415JA,2026-06-20 14:35:50.750000+00:00,2026-06-20 14:35:50.750000+00:00,0.0,1,1,sudo,msg_length_log (1),4.3476,4.3476
auth,ASUS-X415JA,2026-07-01 10:59:25.858000+00:00,2026-07-01 10:59:25.858000+00:00,0.0,1,1,sudo,msg_length_log (1),4.1139,4.1139
auth,ASUS-X415JA,2026-06-22 14:29:28.484000+00:00,2026-06-22 14:29:28.484000+00:00,0.0,1,1,sudo,msg_length_log (1),4.0746,4.0746
auth,ASUS-X415JA,2026-06-22 14:15:37.919000+00:00,2026-06-22 14:15:48.703000+00:00,10.8,2,1,sudo,msg_length_log (2),4.0557,3.9466
auth,ASUS-X415JA,2026-06-25 15:15:08.851000+00:00,2026-06-25 15:15:08.851000+00:00,0.0,1,1,sudo,msg_length_log (1),3.9162,3.9162
auth,ASUS-X415JA,2026-06-16 16:52:33.312000+00:00,2026-06-16 16:54:47.678000+00:00,134.4,3,1,sudo,msg_length_log (3),3.8824,3.8082
auth,ASUS-X415JA,2026-06-21 12:10:08.741000+00:00,2026-06-21 12:10:08.741000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),3.8562,3.8562
auth,ASUS-X415JA,2026-07-01 11:18:58.639000+00:00,2026-07-01 11:18:58.639000+00:00,0.0,1,1,sudo,msg_length_log (1),3.8198,3.8198
auth,ASUS-X415JA,2026-06-16 16:22:29.435000+00:00,2026-06-16 16:22:52.649000+00:00,23.2,2,1,sudo,msg_length_log (2),3.8113,3.7473
auth,ASUS-X415JA,2026-06-18 12:16:02.732000+00:00,2026-06-18 12:16:02.732000+00:00,0.0,1,1,dbus-daemon,inter_arrival_log (1),3.8027,3.8027
