source,method,xi,n_excess,floored,finite_endpoint,threshold,target_rate,realized_rate_test,ratio_realized_target,ks_stat,ks_pvalue,median,p99,skew,kurtosis
auth,gpd_pot,0.16059584822236145,111,False,False,11.108546713637551,0.002,0.017166606432959884,8.583303216479942,0.32596819528823495,5.3000519446583775e-11,0.007151052355766296,15.433745794296264,8.357406090839289,92.04015174409966
syslog,gpd_pot,0.28702379116576615,800,False,False,7.937677922924306,0.001,0.00065,0.6499999999999999,0.06061818995155138,0.005354682248447021,0.10336266458034515,3.3284136247634954,17.64563257185421,754.3370589274056
auditd,gpd_pot,0.41291645922148484,1581,False,False,8.669546602707712,0.0025,0.005314370310384533,2.125748124153813,0.10731071050305885,2.616442493086956e-16,0.13217809796333313,4.492097854614257,15.090334622433756,268.3251321990151
